2024-03-07 04:39:09 | GOAL | tasks.alfworld | Example 0 | Goal: look at bowl under the desklamp.
2024-03-07 04:39:09 | INFO | tasks.alfworld | Step 00 - Message: You are in the middle of a room. Looking quickly around you, you see a bed 1, a desk 2, a desk 1, a drawer 6, a drawer 5, a drawer 4, a drawer 3, a drawer 2, a drawer 1, a garbagecan 1, a laundryhamper 1, a safe 1, a shelf 6, a shelf 5, a shelf 4, a shelf 3, a shelf 2, and a shelf 1.
2024-03-07 04:47:23 | INFO | tasks.alfworld | Step 00 - Message: You are in the middle of a room. Looking quickly around you, you see a cabinet 4, a cabinet 3, a cabinet 2, a cabinet 1, a countertop 1, a garbagecan 1, a handtowelholder 2, a handtowelholder 1, a sinkbasin 2, a sinkbasin 1, a toilet 1, a toiletpaperhanger 1, and a towelholder 1.
2024-03-07 04:47:30 | INFO | tasks.alfworld | Step 00 - Action: go to garbagecan 1
2024-03-07 04:47:31 | INFO | tasks.alfworld | Step 00 - Observation: On the garbagecan 1, you see nothing.
2024-03-07 04:47:31 | INFO | tasks.alfworld | Step 00 - Progress Rate: 0.0

2024-03-07 04:48:07 | INFO | tasks.alfworld | Step 01 - Action: go to countertop 1
2024-03-07 04:48:08 | INFO | tasks.alfworld | Step 01 - Observation: On the countertop 1, you see a candle 1, a soapbar 4, a soapbar 3, a soapbar 1, and a spraybottle 1.
2024-03-07 04:48:08 | INFO | tasks.alfworld | Step 01 - Progress Rate: 0.25

2024-03-07 04:49:09 | INFO | tasks.alfworld | Step 02 - Action: take soapbar 1 from countertop 1
2024-03-07 04:49:09 | INFO | tasks.alfworld | Step 02 - Observation: You pick up the soapbar 1 from the countertop 1.
2024-03-07 04:49:09 | INFO | tasks.alfworld | Step 02 - Progress Rate: 0.5

2024-03-07 04:52:53 | INFO | tasks.alfworld | Step 03 - Action: go to garbagecan 1
2024-03-07 04:52:53 | INFO | tasks.alfworld | Step 03 - Observation: On the garbagecan 1, you see nothing.
2024-03-07 04:52:53 | INFO | tasks.alfworld | Step 03 - Progress Rate: 0.5

2024-03-07 04:53:34 | GUESS_ACTION | tasks.alfworld | Step 04 - Action: put soapbar 1 in/on garbagecan 1
2024-03-07 04:53:35 | INFO | tasks.alfworld | Step 04 - Observation: You put the soapbar 1 in/on the garbagecan 1.
2024-03-07 04:53:35 | INFO | tasks.alfworld | Step 04 - Progress Rate: 0.75

2024-03-07 04:53:38 | GUESS_ACTION | tasks.alfworld | Step 05 - Action: go to countertop 1
2024-03-07 04:53:39 | INFO | tasks.alfworld | Step 05 - Observation: On the countertop 1, you see a candle 1, a soapbar 4, a soapbar 3, and a spraybottle 1.
2024-03-07 04:53:39 | INFO | tasks.alfworld | Step 05 - Progress Rate: 0.75

2024-03-07 04:53:43 | GUESS_ACTION | tasks.alfworld | Step 06 - Action: take soapbar 3 from countertop 1
2024-03-07 04:53:43 | INFO | tasks.alfworld | Step 06 - Observation: You pick up the soapbar 3 from the countertop 1.
2024-03-07 04:53:43 | INFO | tasks.alfworld | Step 06 - Progress Rate: 0.75

2024-03-07 04:53:46 | GUESS_ACTION | tasks.alfworld | Step 07 - Action: go to garbagecan 1
2024-03-07 04:53:47 | INFO | tasks.alfworld | Step 07 - Observation: On the garbagecan 1, you see a soapbar 1.
2024-03-07 04:53:47 | INFO | tasks.alfworld | Step 07 - Progress Rate: 0.75

2024-03-07 05:07:42 | GOAL | tasks.alfworld | Example 0 | Goal: look at bowl under the desklamp.
2024-03-07 05:07:42 | INFO | tasks.alfworld | Step 00 - Message: You are in the middle of a room. Looking quickly around you, you see a bed 1, a desk 2, a desk 1, a drawer 6, a drawer 5, a drawer 4, a drawer 3, a drawer 2, a drawer 1, a garbagecan 1, a laundryhamper 1, a safe 1, a shelf 6, a shelf 5, a shelf 4, a shelf 3, a shelf 2, and a shelf 1.
2024-03-07 05:18:39 | INFO | tasks.alfworld | Step 00 - Action: go to desk 1
2024-03-07 05:18:39 | INFO | tasks.alfworld | Step 00 - Observation: On the desk 1, you see a desklamp 1, a keychain 3, a mug 2, a pen 2, a pen 1, and a pencil 2.
2024-03-07 05:18:39 | INFO | tasks.alfworld | Step 00 - Progress Rate: 0.25

2024-03-07 05:18:55 | INFO | tasks.alfworld | Step 01 - Action: go to desk 2
2024-03-07 05:18:55 | INFO | tasks.alfworld | Step 01 - Observation: On the desk 2, you see a alarmclock 1, a bowl 1, and a cd 3.
2024-03-07 05:18:55 | INFO | tasks.alfworld | Step 01 - Progress Rate: 0.5

2024-03-07 05:19:06 | INFO | tasks.alfworld | Step 02 - Action: take bowl 1 from desk 2
2024-03-07 05:19:07 | INFO | tasks.alfworld | Step 02 - Observation: You pick up the bowl 1 from the desk 2.
2024-03-07 05:19:07 | INFO | tasks.alfworld | Step 02 - Progress Rate: 0.75

2024-03-07 05:19:19 | INFO | tasks.alfworld | Step 03 - Action: go to desk 1
2024-03-07 05:19:20 | INFO | tasks.alfworld | Step 03 - Observation: On the desk 1, you see a desklamp 1, a keychain 3, a mug 2, a pen 2, a pen 1, and a pencil 2.
2024-03-07 05:19:20 | INFO | tasks.alfworld | Step 03 - Progress Rate: 0.75

2024-03-07 05:19:38 | GUESS_ACTION | tasks.alfworld | Step 04 - Action: use desklamp 1
2024-03-07 05:19:38 | INFO | tasks.alfworld | Step 04 - Observation: You turn on the desklamp 1.
2024-03-07 05:19:38 | INFO | tasks.alfworld | Step 04 - Progress Rate: 1.0

2024-03-07 05:19:38 | INFO | tasks.alfworld | use guess percentage: 0.25
2024-03-07 05:19:38 | FINISH | tasks.alfworld | Example 0 | Success: True , Progress Rate: 1.0 , Steps: 4

2024-03-07 05:19:39 | GOAL | tasks.alfworld | Example 1 | Goal: put two soapbar in garbagecan.
2024-03-07 05:19:39 | INFO | tasks.alfworld | Step 00 - Message: You are in the middle of a room. Looking quickly around you, you see a cabinet 4, a cabinet 3, a cabinet 2, a cabinet 1, a countertop 1, a garbagecan 1, a handtowelholder 2, a handtowelholder 1, a sinkbasin 2, a sinkbasin 1, a toilet 1, a toiletpaperhanger 1, and a towelholder 1.
2024-03-07 05:19:45 | INFO | tasks.alfworld | Step 00 - Action: go to garbagecan 1
2024-03-07 05:19:45 | INFO | tasks.alfworld | Step 00 - Observation: On the garbagecan 1, you see nothing.
2024-03-07 05:19:45 | INFO | tasks.alfworld | Step 00 - Progress Rate: 0.0

2024-03-07 05:20:15 | INFO | tasks.alfworld | Step 01 - Action: go to countertop 1
2024-03-07 05:20:15 | INFO | tasks.alfworld | Step 01 - Observation: On the countertop 1, you see a candle 1, a soapbar 4, a soapbar 3, a soapbar 1, and a spraybottle 1.
2024-03-07 05:20:15 | INFO | tasks.alfworld | Step 01 - Progress Rate: 0.25

2024-03-07 05:22:00 | INFO | tasks.alfworld | Step 02 - Action: take soapbar 1 from countertop 1
2024-03-07 05:22:00 | INFO | tasks.alfworld | Step 02 - Observation: You pick up the soapbar 1 from the countertop 1.
2024-03-07 05:22:00 | INFO | tasks.alfworld | Step 02 - Progress Rate: 0.5

2024-03-07 05:28:44 | GOAL | tasks.alfworld | Example 0 | Goal: look at bowl under the desklamp.
2024-03-07 05:28:44 | INFO | tasks.alfworld | Step 00 - Message: You are in the middle of a room. Looking quickly around you, you see a bed 1, a desk 2, a desk 1, a drawer 6, a drawer 5, a drawer 4, a drawer 3, a drawer 2, a drawer 1, a garbagecan 1, a laundryhamper 1, a safe 1, a shelf 6, a shelf 5, a shelf 4, a shelf 3, a shelf 2, and a shelf 1.
